ID,HeartPy_Metrics
0023,"{'bpm': np.float64(54.396400435724246), 'ibi': np.float64(1103.0141612200437), 'sdnn': np.float64(109.09243754806656), 'sdsd': np.float64(72.36004110990142), 'rmssd': np.float64(109.64018918415523), 'pnn20': 0.8373493975903614, 'pnn50': 0.5807228915662651, 'hr_mad': np.float64(61.0), 'sd1': np.float64(77.47054776829587), 'sd2': np.float64(133.12203086768568), 's': np.float64(32399.360180075906), 'sd1/sd2': np.float64(0.5819513664518563), 'breathingrate': np.float64(0.14814668497101263)}"
0024,"{'bpm': np.float64(64.481372048075), 'ibi': np.float64(930.5012919896641), 'sdnn': np.float64(68.40974644875885), 'sdsd': np.float64(29.448820863265635), 'rmssd': np.float64(48.013568879312096), 'pnn20': 0.6576663452266153, 'pnn50': 0.2786885245901639, 'hr_mad': np.float64(42.0), 'sd1': np.float64(33.94977763052114), 'sd2': np.float64(91.68472048675157), 's': np.float64(9778.75965449737), 'sd1/sd2': np.float64(0.37028828195453656), 'breathingrate': np.float64(0.1295960306587181)}"
0025,"{'bpm': np.float64(75.86951200516256), 'ibi': np.float64(790.8315002199736), 'sdnn': np.float64(59.84697624065273), 'sdsd': np.float64(26.01358346072512), 'rmssd': np.float64(42.03483004152293), 'pnn20': 0.5444542253521126, 'pnn50': 0.167693661971831, 'hr_mad': np.float64(40.0), 'sd1': np.float64(29.723102940190746), 'sd2': np.float64(79.2286796249569), 's': np.float64(7398.206284263083), 'sd1/sd2': np.float64(0.3751558536743306), 'breathingrate': np.float64(0.13907741605287166)}"
0026,"{'bpm': np.float64(66.6242345007913), 'ibi': np.float64(900.573199070488), 'sdnn': np.float64(61.930821658772025), 'sdsd': np.float64(30.878198073975554), 'rmssd': np.float64(47.70607472028475), 'pnn20': 0.5590062111801242, 'pnn50': 0.2111801242236025, 'hr_mad': np.float64(40.0), 'sd1': np.float64(33.733127666927096), 'sd2': np.float64(80.8563798080006), 's': np.float64(8568.815173946441), 'sd1/sd2': np.float64(0.417198095524792), 'breathingrate': np.float64(0.11181545289559017)}"
0027,"{'bpm': np.float64(79.50013294336613), 'ibi': np.float64(754.7157190635452), 'sdnn': np.float64(36.35806858050015), 'sdsd': np.float64(9.56547950378273), 'rmssd': np.float64(14.73901264413086), 'pnn20': 0.08117154811715481, 'pnn50': 0.0016736401673640166, 'hr_mad': np.float64(30.0), 'sd1': np.float64(10.42204906956181), 'sd2': np.float64(50.36746327857992), 's': np.float64(1649.1230608389558), 'sd1/sd2': np.float64(0.20692026937942015), 'breathingrate': np.float64(0.12186475228219446)}"
0028,"{'bpm': np.float64(74.61621645726262), 'ibi': np.float64(804.1147467503362), 'sdnn': np.float64(62.808876831935535), 'sdsd': np.float64(25.804410973315505), 'rmssd': np.float64(37.80415163264446), 'pnn20': 0.4383131449080305, 'pnn50': 0.11529834006280844, 'hr_mad': np.float64(40.0), 'sd1': np.float64(26.731504024309174), 'sd2': np.float64(84.71048243976938), 's': np.float64(7113.943677301905), 'sd1/sd2': np.float64(0.31556311868859604), 'breathingrate': np.float64(0.12263235933510964)}"
0029,"{'bpm': np.float64(58.40490441680292), 'ibi': np.float64(1027.3109869646182), 'sdnn': np.float64(70.32752672479687), 'sdsd': np.float64(56.01507370722212), 'rmssd': np.float64(76.46408608773537), 'pnn20': 0.6998011928429424, 'pnn50': 0.33101391650099404, 'hr_mad': np.float64(25.000000000000114), 'sd1': np.float64(54.068085514124554), 'sd2': np.float64(84.13637856854368), 's': np.float64(14291.396870614788), 'sd1/sd2': np.float64(0.6426243491104947), 'breathingrate': np.float64(0.15409437827450553)}"
0030,"{'bpm': np.float64(87.08865804748025), 'ibi': np.float64(688.9530892448513), 'sdnn': np.float64(29.229093462579527), 'sdsd': np.float64(12.577410766303412), 'rmssd': np.float64(17.379696123422214), 'pnn20': 0.10595647193585338, 'pnn50': 0.006300114547537228, 'hr_mad': np.float64(20.0), 'sd1': np.float64(12.28917019136641), 'sd2': np.float64(39.40830102725818), 's': np.float64(1521.4586140656202), 'sd1/sd2': np.float64(0.31184217210648485), 'breathingrate': np.float64(0.11625106909465327)}"
0031,"BadSignalWarning: 
----------------
Could not determine best fit for given signal. Please check the source signal.
 Probable causes:
- detected heart rate falls outside of bpmmin<->bpmmax constraints
- no detectable heart rate present in signal
- very noisy signal (consider filtering and scaling)
If you're sure the signal contains heartrate data, consider filtering and/or scaling first.
----------------
"
0032,"{'bpm': np.float64(69.24910674097988), 'ibi': np.float64(866.437168993741), 'sdnn': np.float64(47.40058166624493), 'sdsd': np.float64(25.117467502089884), 'rmssd': np.float64(36.900637294703984), 'pnn20': 0.43545279383429675, 'pnn50': 0.09633911368015415, 'hr_mad': np.float64(30.0), 'sd1': np.float64(26.09268285789202), 'sd2': np.float64(61.758071040008964), 's': np.float64(5062.468467070121), 'sd1/sd2': np.float64(0.42249834585973867), 'breathingrate': np.float64(0.12225006807106063)}"
